Time(Iteration),LinUCB
0,3.0982384075211957
1,5.565651221934706
2,7.6160835358738
3,8.833959541089307
4,9.599971121801477
5,10.746415706463267
6,12.55654364425617
7,13.045477502740495
8,13.715828074887032
9,14.540605097070044
10,15.888104682314392
11,16.238660689324675
12,17.30278245098406
13,18.754867200611884
14,19.373885833854967
15,19.895552370978596
16,20.21237173731564
17,20.911392902494917
18,21.378511377854693
19,21.88456735196439
20,22.25505811870336
21,22.69581900936078
22,22.860204274513
23,23.334324621662358
24,23.506212851570996
25,23.72261229641324
26,23.72261229641324
27,23.898805230789222
28,24.17398390714864
29,24.17398390714864
30,24.227397746911066
31,24.429254216939707
32,24.54422140492177
33,24.64842693234265
34,24.675545794234058
35,24.759590125621322
36,24.759590125621322
37,24.759590125621322
38,24.759590125621322
39,24.936863097592926
40,25.16279472188093
41,25.264114738724764
42,25.31769529061034
43,25.32513617757172
44,25.546842260476797
45,25.586198718031586
46,25.779455703934943
47,26.02072306762134
48,26.087943125288266
49,26.087943125288266
50,26.140010435675187
51,26.22589425850053
52,26.23461168876826
53,26.381694587656416
54,26.548660971786468
55,26.548660971786468
56,26.56823315287946
57,26.596648788867146
58,26.702738671474847
59,26.946951859658515
60,26.96984301095808
61,27.109618744273394
62,27.21979687400149
63,27.21979687400149
64,27.251755289461105
65,27.286389264324907
66,27.3197431231636
67,27.43567943236681
68,27.46091096315976
69,27.541077540335113
70,27.642957036560407
71,27.65449104120403
72,27.715923432917425
73,27.715923432917425
74,27.75548180402101
75,27.758443551818075
76,27.860719728592773
77,27.92276779863797
78,27.92276779863797
79,27.92276779863797
80,28.06820598854448
81,28.09265590514455
82,28.22503208023791
83,28.31629907558442
84,28.31629907558442
85,28.38855998395526
86,28.39979513138787
87,28.409093538047113
88,28.411305383386555
89,28.468223523479743
90,28.571240151012994
91,28.629839182375438
92,28.629839182375438
93,28.67817336237896
94,28.683656096566505
95,28.786952598354393
96,28.802625666122587
97,28.802625666122587
98,28.802625666122587
99,28.837221245101876
